id,insee_code,start_datetime,end_datetime,name,successors,ancestors,parents,population,insee_modification
COM01047@1942-01-01,01047,1942-01-01 00:00:00,9999-12-31 23:59:59,Blyes,,,DEP01@1860-07-01,944,0
COM01048@1942-01-01,01048,1942-01-01 00:00:00,1973-12-31 23:59:59,Bohas,COM01245@1974-01-01,,DEP01@1860-07-01,NULL,330
COM01049@1942-01-01,01049,1942-01-01 00:00:00,9999-12-31 23:59:59,La Boisse,,,DEP01@1860-07-01,2927,0
COM01050@1942-01-01,01050,1942-01-01 00:00:00,9999-12-31 23:59:59,Boissey,,,DEP01@1860-07-01,314,0
COM01051@1942-01-01,01051,1942-01-01 00:00:00,9999-12-31 23:59:59,Bolozon,,,DEP01@1860-07-01,90,0
COM01052@1942-01-01,01052,1942-01-01 00:00:00,9999-12-31 23:59:59,Bouligneux,,,DEP01@1860-07-01,304,0
COM01053@1942-01-01,01053,1942-01-01 00:00:00,1955-03-30 23:59:59,Bourg,COM01053@1955-03-31,,DEP01@1860-07-01,NULL,100
COM01054@1942-01-01,01054,1942-01-01 00:00:00,9999-12-31 23:59:59,Bourg-Saint-Christophe,,,DEP01@1860-07-01,1258,0
COM01055@1942-01-01,01055,1942-01-01 00:00:00,1972-12-31 23:59:59,Bouvent,COM01283@1942-01-01,,DEP01@1860-07-01,NULL,310
COM01056@1942-01-01,01056,1942-01-01 00:00:00,9999-12-31 23:59:59,Boyeux-Saint-Jérôme,,,DEP01@1860-07-01,365,0
COM01057@1942-01-01,01057,1942-01-01 00:00:00,9999-12-31 23:59:59,Boz,,,DEP01@1860-07-01,508,0
COM01058@1942-01-01,01058,1942-01-01 00:00:00,9999-12-31 23:59:59,Brégnier-Cordon,,,DEP01@1860-07-01,865,0
COM01059@1942-01-01,01059,1942-01-01 00:00:00,9999-12-31 23:59:59,Brénaz,,,DEP01@1860-07-01,91,0
COM01060@1942-01-01,01060,1942-01-01 00:00:00,9999-12-31 23:59:59,Brénod,,,DEP01@1860-07-01,550,0
COM01061@1942-01-01,01061,1942-01-01 00:00:00,9999-12-31 23:59:59,Brens,,,DEP01@1860-07-01,1200,0
COM01062@1942-01-01,01062,1942-01-01 00:00:00,9999-12-31 23:59:59,Bressolles,,,DEP01@1860-07-01,812,0
COM01063@1942-01-01,01063,1942-01-01 00:00:00,9999-12-31 23:59:59,Brion,,,DEP01@1860-07-01,514,0
COM01064@1942-01-01,01064,1942-01-01 00:00:00,9999-12-31 23:59:59,Briord,,,DEP01@1860-07-01,946,0
COM01065@1942-01-01,01065,1942-01-01 00:00:00,9999-12-31 23:59:59,Buellas,,,DEP01@1860-07-01,1734,0
COM01066@1942-01-01,01066,1942-01-01 00:00:00,9999-12-31 23:59:59,La Burbanche,,,DEP01@1860-07-01,72,0
COM01067@1942-01-01,01067,1942-01-01 00:00:00,9999-12-31 23:59:59,Ceignes,,,DEP01@1860-07-01,262,0
COM01068@1942-01-01,01068,1942-01-01 00:00:00,9999-12-31 23:59:59,Cerdon,,,DEP01@1860-07-01,749,0
COM01069@1942-01-01,01069,1942-01-01 00:00:00,9999-12-31 23:59:59,Certines,,,DEP01@1860-07-01,1440,0
COM01070@1942-01-01,01070,1942-01-01 00:00:00,1973-12-31 23:59:59,Cesseins,COM01165@1974-01-01,,DEP01@1860-07-01,NULL,330
COM01071@1942-01-01,01071,1942-01-01 00:00:00,9999-12-31 23:59:59,Cessy,,,DEP01@1860-07-01,4524,0
COM01072@1942-01-01,01072,1942-01-01 00:00:00,9999-12-31 23:59:59,Ceyzériat,,,DEP01@1860-07-01,3039,0
COM01073@1942-01-01,01073,1942-01-01 00:00:00,9999-12-31 23:59:59,Ceyzérieu,,,DEP01@1860-07-01,1005,0
COM01074@1942-01-01,01074,1942-01-01 00:00:00,9999-12-31 23:59:59,Chalamont,,,DEP01@1860-07-01,2409,0
COM01075@1942-01-01,01075,1942-01-01 00:00:00,9999-12-31 23:59:59,Chaleins,,,DEP01@1860-07-01,1199,0
COM01076@1942-01-01,01076,1942-01-01 00:00:00,9999-12-31 23:59:59,Chaley,,,DEP01@1860-07-01,146,0
COM01077@1942-01-01,01077,1942-01-01 00:00:00,2006-07-08 23:59:59,Challes,COM01077@2006-07-09,,DEP01@1860-07-01,NULL,100
COM01078@1942-01-01,01078,1942-01-01 00:00:00,9999-12-31 23:59:59,Challex,,,DEP01@1860-07-01,1385,0
COM01079@1942-01-01,01079,1942-01-01 00:00:00,1956-10-18 23:59:59,Champagne,COM01079@1956-10-19,,DEP01@1860-07-01,NULL,100
COM01080@1942-01-01,01080,1942-01-01 00:00:00,2015-12-31 23:59:59,Champdor,COM01080@2016-01-01,,DEP01@1860-07-01,452,331
COM01081@1942-01-01,01081,1942-01-01 00:00:00,9999-12-31 23:59:59,Champfromier,,,DEP01@1860-07-01,713,0
COM01082@1942-01-01,01082,1942-01-01 00:00:00,9999-12-31 23:59:59,Chanay,,,DEP01@1860-07-01,646,0
