id,insee_code,name,start_datetime,end_datetime,successors,ancestors,population,insee_modification
COM01001@1942-01-01,01001,L'Abergement-Clémenciat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,767,0
COM01002@1942-01-01,01002,L'Abergement-de-Varey,1942-01-01 00:00:00,9999-12-31 23:59:59,,,236,0
COM01003@1942-01-01,01003,Amareins,1942-01-01 00:00:00,1973-12-31 23:59:59,COM01165@1974-01-01,,NULL,330
COM01005@1942-01-01,01005,Ambérieux-en-Dombes,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1635,0
COM01006@1942-01-01,01006,Ambléon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,108,0
COM01007@1942-01-01,01007,Ambronay,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2503,0
COM01008@1942-01-01,01008,Ambutrix,1942-01-01 00:00:00,9999-12-31 23:59:59,,,744,0
COM01009@1942-01-01,01009,Andert-et-Condon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,337,0
COM01010@1942-01-01,01010,Anglefort,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1108,0
COM01011@1942-01-01,01011,Apremont,1942-01-01 00:00:00,9999-12-31 23:59:59,,,394,0
COM01012@1942-01-01,01012,Aranc,1942-01-01 00:00:00,9999-12-31 23:59:59,,,314,0
COM01013@1942-01-01,01013,Arandas,1942-01-01 00:00:00,9999-12-31 23:59:59,,,158,0
COM01014@1942-01-01,01014,Arbent,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3410,0
COM01015@1942-01-01,01015,Arbignieu,1942-01-01 00:00:00,2015-12-31 23:59:59,COM01015@2016-01-01,,495,331
COM01016@1942-01-01,01016,Arbigny,1942-01-01 00:00:00,9999-12-31 23:59:59,,,427,0
COM01017@1942-01-01,01017,Argis,1942-01-01 00:00:00,9999-12-31 23:59:59,,,422,0
COM01018@1942-01-01,01018,Arlod,1942-01-01 00:00:00,1970-12-31 23:59:59,COM01033@1942-01-01,,NULL,310
COM01019@1942-01-01,01019,Armix,1942-01-01 00:00:00,9999-12-31 23:59:59,,,21,0
COM01020@1942-01-01,01020,Arnans,1942-01-01 00:00:00,1964-06-03 23:59:59,COM01125@1942-01-01,,NULL,310
COM01022@1942-01-01,01022,Artemare,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1175,0
COM01023@1942-01-01,01023,Asnières-sur-Saône,1942-01-01 00:00:00,9999-12-31 23:59:59,,,69,0
COM01024@1942-01-01,01024,Attignat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3260,0
COM01025@1942-01-01,01025,Bâgé-la-Ville,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3154,0
COM01026@1942-01-01,01026,Bâgé-le-Châtel,1942-01-01 00:00:00,9999-12-31 23:59:59,,,855,0
COM01027@1942-01-01,01027,Balan,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2828,0
COM01028@1942-01-01,01028,Baneins,1942-01-01 00:00:00,9999-12-31 23:59:59,,,573,0
COM01029@1942-01-01,01029,Beaupont,1942-01-01 00:00:00,9999-12-31 23:59:59,,,677,0
COM01030@1942-01-01,01030,Beauregard,1942-01-01 00:00:00,9999-12-31 23:59:59,,,876,0
COM01032@1942-01-01,01032,Béligneux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3304,0
COM01034@1942-01-01,01034,Belley,1942-01-01 00:00:00,9999-12-31 23:59:59,,,8909,0
COM01035@1942-01-01,01035,Belleydoux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,327,0
COM01036@1942-01-01,01036,Belmont,1942-01-01 00:00:00,1974-10-31 23:59:59,COM01036@1974-11-01,,NULL,110
COM01037@1942-01-01,01037,Bénonces,1942-01-01 00:00:00,9999-12-31 23:59:59,,,276,0
COM01038@1942-01-01,01038,Bény,1942-01-01 00:00:00,9999-12-31 23:59:59,,,718,0
COM01039@1942-01-01,01039,Béon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,457,0
COM01040@1942-01-01,01040,Béréziat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,470,0
COM01041@1942-01-01,01041,Bettant,1942-01-01 00:00:00,9999-12-31 23:59:59,,,746,0
COM01042@1942-01-01,01042,Bey,1942-01-01 00:00:00,9999-12-31 23:59:59,,,260,0
COM01043@1942-01-01,01043,Beynost,1942-01-01 00:00:00,9999-12-31 23:59:59,,,4534,0
COM01044@1942-01-01,01044,Billiat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,578,0
COM01045@1942-01-01,01045,Birieux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,280,0
COM01046@1942-01-01,01046,Biziat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,824,0
COM01047@1942-01-01,01047,Blyes,1942-01-01 00:00:00,9999-12-31 23:59:59,,,944,0
COM01048@1942-01-01,01048,Bohas,1942-01-01 00:00:00,1973-12-31 23:59:59,COM01245@1974-01-01,,NULL,330
COM01049@1942-01-01,01049,La Boisse,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2927,0
