siren;nom;nature;fiscalite;nb_com;ptot;pmun;insee;nom_com;ptot_com;pmun_com
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57155;Courcelles-Chaussy;3145;2954
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57575;Retonfey;1340;1313
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57482;Montoy-Flanville;1195;1182
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57156;Courcelles-sur-Nied;956;935
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57533;Pange;898;875
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57654;Silly-sur-Nied;721;705
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57523;Ogy;600;592
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57055;Bazoncourt;494;481
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57449;Marsilly;454;446
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57648;Servigny-lès-Raville;357;353
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57627;Sanry-sur-Nied;334;331
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57656;Sorbey;333;327
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57431;Maizeroy;319;313
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57145;Coincy;314;310
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57148;Colligny;311;309
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57563;Raville;242;240
200000164;CC du Pays de Pange;CC;FA;17;12179;11830;57432;Maizery;166;164
200000172;CC Faucigny-Glières;CC;FPU;7;24572;23872;74042;Bonneville;11716;11380
200000172;CC Faucigny-Glières;CC;FPU;7;24572;23872;74164;Marignier;6247;6114
200000172;CC Faucigny-Glières;CC;FPU;7;24572;23872;74024;Ayse;1995;1944
200000172;CC Faucigny-Glières;CC;FPU;7;24572;23872;74087;Contamine-sur-Arve;1667;1537
200000172;CC Faucigny-Glières;CC;FPU;7;24572;23872;74312;Vougy;1398;1368
200000172;CC Faucigny-Glières;CC;FPU;7;24572;23872;74212;Le Petit-Bornand-les-Glières;1094;1080
200000172;CC Faucigny-Glières;CC;FPU;7;24572;23872;74049;Brizon;455;449
200000321;CA des deux Rives de la Seine;CA;FPU;6;65103;64223;78642;Verneuil-sur-Seine;15842;15524
200000321;CA des deux Rives de la Seine;CA;FPU;6;65103;64223;78123;Carrières-sous-Poissy;14134;13976
200000321;CA des deux Rives de la Seine;CA;FPU;6;65103;64223;78015;Andrésy;12642;12501
200000321;CA des deux Rives de la Seine;CA;FPU;6;65103;64223;78624;Triel-sur-Seine;12155;11957
200000321;CA des deux Rives de la Seine;CA;FPU;6;65103;64223;78138;Chanteloup-les-Vignes;9136;9081
200000321;CA des deux Rives de la Seine;CA;FPU;6;65103;64223;78140;Chapet;1194;1184
200000339;CC des Coteaux de seine;CC;FA;3;37371;36662;78126;La Celle-Saint-Cloud;21427;20999
200000339;CC des Coteaux de seine;CC;FA;3;37371;36662;78092;Bougival;8528;8416
200000339;CC des Coteaux de seine;CC;FA;3;37371;36662;78350;Louveciennes;7416;7247
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31193;Le Fousseret;1626;1591
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31476;Saint-Élix-le-Château;687;678
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31229;Gratens;660;646
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31436;Pouy-de-Touges;338;330
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31317;Marignac-Lasclares;336;332
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31309;Lussan-Adeilhac;204;202
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31119;Castelnau-Picampeau;186;180
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31469;Saint-Araille;151;150
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31370;Montégut-Bourjac;112;108
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31387;Montoussin;109;109
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31543;Sénarens;106;106
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31122;Casties-Labrande;96;96
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31204;Fustignac;72;71
200000354;CC de la Louge et du Touch;CC;FPU;14;4746;4658;31428;Polastron;63;59
200000388;CC du Sud Morvan;CC;FA;7;3283;3224;58182;Moulins-Engilbert;1724;1691
200000388;CC du Sud Morvan;CC;FA;7;3283;3224;58309;Villapourçon;455;449
