siren;nom;nature;fiscalite;nb_com;ptot;pmun;insee;siren_com;nom_com;ptot_com;pmun_com
200000172;CC Faucigny-Glières;CC;FPU;7;26948;26015;74024;217400241;Ayse;2177;2106
200000172;CC Faucigny-Glières;CC;FPU;7;26948;26015;74042;217400423;Bonneville;13040;12575
200000172;CC Faucigny-Glières;CC;FPU;7;26948;26015;74049;217400498;Brizon;472;466
200000172;CC Faucigny-Glières;CC;FPU;7;26948;26015;74087;217400878;Contamine-sur-Arve;2000;1834
200000172;CC Faucigny-Glières;CC;FPU;7;26948;26015;74164;217401645;Marignier;6599;6424
200000172;CC Faucigny-Glières;CC;FPU;7;26948;26015;74212;217402122;Le Petit-Bornand-les-Glières;1130;1113
200000172;CC Faucigny-Glières;CC;FPU;7;26948;26015;74312;217403120;Vougy;1530;1497
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44050;214400509;Crossac;3016;2910
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44053;214400533;Drefféac;2158;2109
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44068;214400681;Guenrouet;3364;3308
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44098;214400988;Missillac;5214;5134
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44129;214401291;Pontchâteau;10689;10398
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44152;214401523;Sainte-Anne-sur-Brivet;2899;2863
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44161;214401614;Saint-Gildas-des-Bois;3794;3701
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44189;214401895;Sainte-Reine-de-Bretagne;2321;2287
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;35112;34345;44196;214401960;Sévérac;1657;1635
200000545;CC des Portes de Romilly Sur Seine;CC;FA;6;18947;18493;10114;211001086;Crancey;766;749
200000545;CC des Portes de Romilly Sur Seine;CC;FA;6;18947;18493;10164;211001573;Gélannes;763;739
200000545;CC des Portes de Romilly Sur Seine;CC;FA;6;18947;18493;10220;211002134;Maizières-la-Grande-Paroisse;1591;1527
200000545;CC des Portes de Romilly Sur Seine;CC;FA;6;18947;18493;10280;211002720;Pars-lès-Romilly;860;836
200000545;CC des Portes de Romilly Sur Seine;CC;FA;6;18947;18493;10323;211003124;Romilly-sur-Seine;14617;14303
200000545;CC des Portes de Romilly Sur Seine;CC;FA;6;18947;18493;10341;211003306;Saint-Hilaire-sous-Romilly;350;339
200000628;CC Rhône Lez Provence;CC;FPU;5;24497;24102;84019;218400190;Bollène;13792;13574
200000628;CC Rhône Lez Provence;CC;FPU;5;24497;24102;84063;218400638;Lamotte-du-Rhône;415;406
200000628;CC Rhône Lez Provence;CC;FPU;5;24497;24102;84064;218400646;Lapalud;3927;3863
200000628;CC Rhône Lez Provence;CC;FPU;5;24497;24102;84078;218400786;Mondragon;3908;3856
200000628;CC Rhône Lez Provence;CC;FPU;5;24497;24102;84083;218400836;Mornas;2455;2403
200000800;CC Coeur de Sologne;CC;FPU;6;10909;10694;41036;214100364;Chaon;481;470
200000800;CC Coeur de Sologne;CC;FPU;6;10909;10694;41046;214100463;Chaumont-sur-Tharonne;1118;1106
200000800;CC Coeur de Sologne;CC;FPU;6;10909;10694;41106;214101065;Lamotte-Beuvron;4852;4767
200000800;CC Coeur de Sologne;CC;FPU;6;10909;10694;41161;214101610;Nouan-le-Fuzelier;2397;2343
200000800;CC Coeur de Sologne;CC;FPU;6;10909;10694;41251;214102519;Souvigny-en-Sologne;520;510
200000800;CC Coeur de Sologne;CC;FPU;6;10909;10694;41296;214102964;Vouzon;1541;1498
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21005;212100051;Aiserey;1373;1359
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21057;212100572;Beire-le-Fort;338;326
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21067;212100671;Bessey-lès-Cîteaux;700;691
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21126;212101265;Cessey-sur-Tille;633;622
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21130;212101307;Chambeire;406;401
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21183;212101836;Collonges-lès-Premières;862;845
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21242;212102420;Échigey;288;274
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21261;212102610;Fauverney;678;667
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21292;212102925;Genlis;5509;5411
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21319;212103196;Izeure;842;832
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21320;212103204;Izier;817;803
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21330;212103303;Labergement-Foigney;399;387
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21351;212103519;Longchamp;1302;1185
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21352;212103527;Longeault;579;574
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21353;212103535;Longecourt-en-Plaine;1238;1210
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21388;212103881;Marliens;544;541
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21486;212104863;Pluvault;555;550
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21487;212104871;Pluvet;437;431
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21507;212105076;Premières;141;140
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21532;212105324;Rouvres-en-Plaine;1082;1072
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21621;212106215;Tart-l'Abbaye;217;210
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21622;212106223;Tart-le-Bas;233;229
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21623;212106231;Tart-le-Haut;1421;1395
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21632;212106322;Thorey-en-Plaine;1150;1136
200000925;CC de la Plaine Dijonnaise;CC;FPU;25;22494;22031;21656;212106561;Varanges;750;740
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18011;211800115;Argent-sur-Sauldre;2171;2137
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18015;211800156;Aubigny-sur-Nère;5711;5560
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18030;211800305;Blancafort;1134;1090
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18037;211800370;Brinon-sur-Sauldre;1032;1015
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18047;211800479;La Chapelle-d'Angillon;663;653
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18067;211800677;Clémont;731;719
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18088;211800883;Ennordres;216;212
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18115;211801154;Ivoy-le-Pré;827;817
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18147;211801477;Ménétréol-sur-Sauldre;225;217
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18149;211801493;Méry-ès-Bois;597;582
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18170;211801709;Oizon;709;696
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18185;211801857;Presly;314;236
200000933;CC Sauldre et Sologne;CC;FA;13;14519;14119;18227;211802277;Sainte-Montaine;189;185
200004802;CC du Pays de Fayence;CC;FPU;9;27879;27366;83008;218300085;Bagnols-en-Forêt;2753;2695
200004802;CC du Pays de Fayence;CC;FPU;9;27879;27366;83029;218300291;Callian;3371;3310
