siren;nom;nature;fiscalite;nb_com;ptot;pmun;insee;siren_com;nom_com;ptot_com;pmun_com
200000164;CC de Pange;CC;FPU;18;13211;12766;57055;215700550;Bazoncourt;534;521
200000164;CC de Pange;CC;FPU;18;13211;12766;57145;215701459;Coincy;307;304
200000164;CC de Pange;CC;FPU;18;13211;12766;57148;215701483;Colligny;387;377
200000164;CC de Pange;CC;FPU;18;13211;12766;57155;215701558;Courcelles-Chaussy;3310;3054
200000164;CC de Pange;CC;FPU;18;13211;12766;57156;215701566;Courcelles-sur-Nied;1197;1178
200000164;CC de Pange;CC;FPU;18;13211;12766;57431;215704313;Maizeroy;375;367
200000164;CC de Pange;CC;FPU;18;13211;12766;57432;215704321;Maizery;202;197
200000164;CC de Pange;CC;FPU;18;13211;12766;57449;215704495;Marsilly;543;529
200000164;CC de Pange;CC;FPU;18;13211;12766;57482;215704826;Montoy-Flanville;1137;1117
200000164;CC de Pange;CC;FPU;18;13211;12766;57523;215705237;Ogy;547;534
200000164;CC de Pange;CC;FPU;18;13211;12766;57533;215705336;Pange;943;917
200000164;CC de Pange;CC;FPU;18;13211;12766;57563;215705633;Raville;273;271
200000164;CC de Pange;CC;FPU;18;13211;12766;57575;215705757;Retonfey;1371;1355
200000164;CC de Pange;CC;FPU;18;13211;12766;57627;215706276;Sanry-sur-Nied;311;306
200000164;CC de Pange;CC;FPU;18;13211;12766;57648;215706482;Servigny-lès-Raville;437;432
200000164;CC de Pange;CC;FPU;18;13211;12766;57654;215706540;Silly-sur-Nied;718;706
200000164;CC de Pange;CC;FPU;18;13211;12766;57656;215706565;Sorbey;366;352
200000164;CC de Pange;CC;FPU;18;13211;12766;57718;215707183;Villers-Stoncourt;253;249
200000172;CC Faucigny-Glières;CC;FPU;7;26875;25941;74024;217400241;Ayse;2164;2093
200000172;CC Faucigny-Glières;CC;FPU;7;26875;25941;74042;217400423;Bonneville;13112;12648
200000172;CC Faucigny-Glières;CC;FPU;7;26875;25941;74049;217400498;Brizon;467;462
200000172;CC Faucigny-Glières;CC;FPU;7;26875;25941;74087;217400878;Contamine-sur-Arve;1913;1738
200000172;CC Faucigny-Glières;CC;FPU;7;26875;25941;74164;217401645;Marignier;6553;6385
200000172;CC Faucigny-Glières;CC;FPU;7;26875;25941;74212;217402122;Le Petit-Bornand-les-Glières;1136;1118
200000172;CC Faucigny-Glières;CC;FPU;7;26875;25941;74312;217403120;Vougy;1530;1497
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31119;213101199;Castelnau-Picampeau;216;216
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31122;213101223;Casties-Labrande;123;122
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31193;213101934;Le Fousseret;1871;1838
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31204;213102049;Fustignac;81;79
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31229;213102296;Gratens;675;666
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31309;213103096;Lussan-Adeilhac;233;230
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31317;213103179;Marignac-Lasclares;462;444
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31370;213103708;Montégut-Bourjac;135;134
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31387;213103872;Montoussin;130;129
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31428;213104284;Polastron;60;59
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31436;213104367;Pouy-de-Touges;389;381
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31469;213104698;Saint-Araille;145;141
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31476;213104763;Saint-Elix-le-Château;802;783
200000354;CC de la Louge et du Touch;CC;FPU;14;5441;5339;31543;213105430;Sénarens;119;117
200000388;CC du Sud Morvan;CC;FA;7;3062;3012;58161;215801614;Maux;145;140
200000388;CC du Sud Morvan;CC;FA;7;3062;3012;58173;215801739;Montaron;166;163
200000388;CC du Sud Morvan;CC;FA;7;3062;3012;58182;215801820;Moulins-Engilbert;1543;1523
200000388;CC du Sud Morvan;CC;FA;7;3062;3012;58219;215802190;Préporché;202;200
200000388;CC du Sud Morvan;CC;FA;7;3062;3012;58277;215802778;Sermages;205;201
