siren;nom;nature;fiscalite;nb_com;ptot;pmun;insee;nom_com;ptot_com;pmun_com
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57155;Courcelles-Chaussy;3174;2974
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57575;Retonfey;1353;1322
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57482;Montoy-Flanville;1184;1160
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57156;Courcelles-sur-Nied;960;940
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57533;Pange;906;893
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57654;Silly-sur-Nied;717;701
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57523;Ogy;594;585
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57055;Bazoncourt;498;487
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57449;Marsilly;480;472
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57648;Servigny-lès-Raville;358;354
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57656;Sorbey;335;328
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57627;Sanry-sur-Nied;331;328
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57431;Maizeroy;324;319
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57145;Coincy;313;309
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57148;Colligny;309;307
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57563;Raville;249;247
200000164;CC du Pays de Pange;CC;FA;17;12262;11901;57432;Maizery;177;175
200000172;CC Faucigny-Glières;CC;FPU;7;25220;24485;74042;Bonneville;12156;11831
200000172;CC Faucigny-Glières;CC;FPU;7;25220;24485;74164;Marignier;6314;6137
200000172;CC Faucigny-Glières;CC;FPU;7;25220;24485;74024;Ayse;2022;1970
200000172;CC Faucigny-Glières;CC;FPU;7;25220;24485;74087;Contamine-sur-Arve;1701;1572
200000172;CC Faucigny-Glières;CC;FPU;7;25220;24485;74312;Vougy;1450;1419
200000172;CC Faucigny-Glières;CC;FPU;7;25220;24485;74212;Le Petit-Bornand-les-Glières;1121;1107
200000172;CC Faucigny-Glières;CC;FPU;7;25220;24485;74049;Brizon;456;449
200000321;CA des deux Rives de la Seine;CA;FPU;6;65585;64624;78642;Verneuil-sur-Seine;15781;15431
200000321;CA des deux Rives de la Seine;CA;FPU;6;65585;64624;78123;Carrières-sous-Poissy;14656;14512
200000321;CA des deux Rives de la Seine;CA;FPU;6;65585;64624;78015;Andrésy;12382;12233
200000321;CA des deux Rives de la Seine;CA;FPU;6;65585;64624;78624;Triel-sur-Seine;12144;11932
200000321;CA des deux Rives de la Seine;CA;FPU;6;65585;64624;78138;Chanteloup-les-Vignes;9420;9325
200000321;CA des deux Rives de la Seine;CA;FPU;6;65585;64624;78140;Chapet;1202;1191
200000339;CC des Coteaux de seine;CC;FA;3;37256;36560;78126;La Celle-Saint-Cloud;21289;20870
200000339;CC des Coteaux de seine;CC;FA;3;37256;36560;78092;Bougival;8542;8430
200000339;CC des Coteaux de seine;CC;FA;3;37256;36560;78350;Louveciennes;7425;7260
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31193;Le Fousseret;1647;1611
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31476;Saint-Élix-le-Château;699;691
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31229;Gratens;684;669
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31317;Marignac-Lasclares;364;359
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31436;Pouy-de-Touges;353;344
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31309;Lussan-Adeilhac;216;213
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31119;Castelnau-Picampeau;187;182
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31469;Saint-Araille;147;146
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31370;Montégut-Bourjac;118;114
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31387;Montoussin;114;114
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31543;Sénarens;111;110
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31122;Casties-Labrande;96;96
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31204;Fustignac;75;74
200000354;CC de la Louge et du Touch;CC;FPU;14;4873;4781;31428;Polastron;62;58
200000388;CC du Sud Morvan;CC;FA;7;3290;3233;58182;Moulins-Engilbert;1738;1708
200000388;CC du Sud Morvan;CC;FA;7;3290;3233;58309;Villapourçon;456;449
200000388;CC du Sud Morvan;CC;FA;7;3290;3233;58301;Vandenesse;354;347
200000388;CC du Sud Morvan;CC;FA;7;3290;3233;58277;Sermages;224;220
200000388;CC du Sud Morvan;CC;FA;7;3290;3233;58219;Préporché;208;204
200000388;CC du Sud Morvan;CC;FA;7;3290;3233;58173;Montaron;170;167
200000388;CC du Sud Morvan;CC;FA;7;3290;3233;58161;Maux;140;138
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88530;Xertigny;2830;2782
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88225;Hadol;2391;2251
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88358;Pouxeux;2012;1967
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88011;Arches;1829;1710
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88481;Uriménil;1375;1355
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88371;Raon-aux-Bois;1212;1171
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88012;Archettes;1084;1072
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88048;Bellefontaine;997;972
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88028;La Baffe;718;638
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88134;Dinozé;508;495
200000420;CC de la Voge vers les Rives de la Moselle;CC;FA;11;15377;14830;88250;Jarménil;421;417
200000438;CC du Pays de Pontchâteau - Saint-Gildas des bois;CC;FPU;9;31211;30395;44129;Pontchâteau;9599;9324
200000438;CC du Pays de Pontchâteau - Saint-Gildas des bois;CC;FPU;9;31211;30395;44098;Missillac;4808;4717
