siren;nom;nature;fiscalite;ptot;nb_com;insee;nom_com;ptot_com;pmun_com
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1139;Curciat-Dongalon;407;404
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1124;Cormoz;515;512
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1367;Saint-Julien-sur-Reyssouze;522;514
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1380;Saint-Nizier-le-Bouchoux;553;546
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1364;Saint-Jean-sur-Reyssouze;585;579
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1212;Lescheroux;603;597
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1388;Saint-Trivier-de-Courtes;950;935
240100347;CC Rhône et Gland;CC;4TX;1912;6;1340;Saint-Bois;103;102
240100347;CC Rhône et Gland;CC;4TX;1912;6;1110;Colomieu;130;128
240100347;CC Rhône et Gland;CC;4TX;1912;6;1193;Izieu;181;178
240100347;CC Rhône et Gland;CC;4TX;1912;6;1182;Groslée;340;333
240100347;CC Rhône et Gland;CC;4TX;1912;6;1058;Brégnier-Cordon;570;566
240100347;CC Rhône et Gland;CC;4TX;1912;6;1338;Saint-Benoît;588;582
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1162;Flaxieu;50;50
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1006;Ambléon;86;86
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1456;Vongnes;94;89
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1117;Conzieu;103;100
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1302;Pollieu;123;122
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1341;Saint-Champ;137;132
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1234;Marignieu;156;156
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1268;Murs-et-Gélignieux;207;204
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1310;Prémeyzel;246;242
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1009;Andert-et-Condon;279;275
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1227;Magnieu;297;291
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1358;Saint-Germain-les-Paroisses;309;307
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1133;Cressin-Rochefort;312;308
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1286;Parves;321;320
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1271;Nattages;398;393
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1116;Contrevoz;446;430
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1015;Arbignieu;435;431
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1239;Massignieu-de-Rives;505;498
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1454;Virignin;651;643
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1294;Peyrieu;728;644
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1098;Chazey-Bons;671;664
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1061;Brens;746;731
240100354;CC de Belley Bas Bugey;CC;4TX;15773;23;1034;Belley;8473;7999
240100370;CC du Valromey;CC;4TX;3592;11;1218;Lochieu;73;73
240100370;CC du Valromey;CC;4TX;3592;11;1059;Brénaz;105;105
240100370;CC du Valromey;CC;4TX;3592;11;1292;Le Petit-Abergement;144;141
240100370;CC du Valromey;CC;4TX;3592;11;1097;Chavornay;180;174
240100370;CC du Valromey;CC;4TX;3592;11;1330;Ruffieu;191;188
240100370;CC du Valromey;CC;4TX;3592;11;1414;Sutrieu;223;218
240100370;CC du Valromey;CC;4TX;3592;11;1453;Virieu-le-Petit;285;281
240100370;CC du Valromey;CC;4TX;3592;11;1187;Hotonnes;299;295
240100370;CC du Valromey;CC;4TX;3592;11;1036;Belmont-Luthézieu;405;394
240100370;CC du Valromey;CC;4TX;3592;11;1079;Champagne-en-Valromey;685;674
240100370;CC du Valromey;CC;4TX;3592;11;1022;Artemare;1002;970
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1186;Hostias;62;62
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1111;Conand;72;69
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1279;Oncieu;78;78
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1277;Nivollet-Montgriffon;88;87
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1076;Chaley;107;106
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1155;Evosges;109;109
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1107;Cleyzieu;119;116
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1013;Arandas;141;135
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1017;Argis;403;390
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1421;Torcieu;655;646
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1416;Tenay;1095;1086
240100396;CC de la Vallée de l'Albarine;CC;4TX;5019;12;1384;Saint-Rambert-en-Bugey;2090;2065
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1190;Innimond;95;95
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1233;Marchamp;108;108
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1280;Ordonnaz;121;120
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1400;Seillonnaz;126;123
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1219;Lompnas;150;147
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1037;Bénonces;248;243
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1255;Montagnieu;397;386
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1064;Briord;692;675
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1216;Lhuis;742;724
240100412;CC Rhône - Chartreuse de Portes;CC;4TX;3662;10;1403;Serrières-de-Briord;983;960
240100438;CC du Colombier;CC;4TX;3994;4;1208;Lavours;117;117
240100438;CC du Colombier;CC;4TX;3994;4;1039;Béon;373;364
240100438;CC du Colombier;CC;4TX;3994;4;1073;Ceyzérieu;824;814
240100438;CC du Colombier;CC;4TX;3994;4;1138;Culoz;2680;2622
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1311;Prémillieu;36;33
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1121;Corlier;75;73
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1119;Corcelles;227;221
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1012;Aranc;283;275
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1417;Thézillieu;305;299
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1080;Champdor;433;425
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1122;Cormaranche-en-Bugey;795;726
240100578;CC du Plateau dHauteville;CC;4TX;5949;8;1185;Hauteville-Lompnes;3795;3662
240100594;CC Val de Saône Chalaronne;CC;TPU;6957;7;1295;Peyzieux-sur-Saône;339;337
240100594;CC Val de Saône Chalaronne;CC;TPU;6957;7;1188;Illiat;469;466
240100594;CC Val de Saône Chalaronne;CC;TPU;6957;7;1252;Mogneneins;577;572
240100594;CC Val de Saône Chalaronne;CC;TPU;6957;7;1167;Garnerans;657;645
240100594;CC Val de Saône Chalaronne;CC;TPU;6957;7;1351;Saint-Etienne-sur-Chalaronne;1196;1179
240100594;CC Val de Saône Chalaronne;CC;TPU;6957;7;1420;Thoissey;1383;1358
240100594;CC Val de Saône Chalaronne;CC;TPU;6957;7;1348;Saint-Didier-sur-Chalaronne;2336;2259
240100602;CC Saône Vallée;CC;TPU;19499;10;1362;Saint-Jean-de-Thurigneux;558;554
240100602;CC Saône Vallée;CC;TPU;19499;10;1423;Toussieux;733;727
240100602;CC Saône Vallée;CC;TPU;19499;10;1285;Parcieux;923;909
240100602;CC Saône Vallée;CC;TPU;19499;10;1105;Civrieux;1146;1079
240100602;CC Saône Vallée;CC;TPU;19499;10;1353;Sainte-Euphémie;1131;1118
240100602;CC Saône Vallée;CC;TPU;19499;10;1339;Saint-Bernard;1293;1282
240100602;CC Saône Vallée;CC;TPU;19499;10;1250;Misérieux;1821;1430
240100602;CC Saône Vallée;CC;TPU;19499;10;1347;Saint-Didier-de-Formans;1575;1544
240100602;CC Saône Vallée;CC;TPU;19499;10;1322;Reyrieux;3722;3622
240100602;CC Saône Vallée;CC;TPU;19499;10;1427;Trévoux;6597;6392
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1342;Sainte-Croix;473;468
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1062;Bressolles;595;590
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1297;Pizay;640;637
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1276;Niévroz;1368;1360
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1027;Balan;2418;1463
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1032;Béligneux;2603;2594
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1049;La Boisse;2741;2709
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1142;Dagneux;3797;3757
240100610;CC du Canton de Montluel;CC;TPU;21306;9;1262;Montluel;6671;6454
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1259;Montcet;498;489
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1429;Vandeins;516;510
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1264;Montracol;743;728
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1385;Saint-Rémy;834;813
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1405;Servas;931;914
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1336;Saint-André-sur-Vieux-Jonc;981;965
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1145;Dompierre-sur-Veyle;980;968
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1211;Lent;1156;1145
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1195;Jasseron;1273;1256
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1065;Buellas;1326;1288
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1301;Polliat;2058;2019
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1344;Saint-Denis-lès-Bourg;5028;4921
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1451;Viriat;5420;5288
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1289;Péronnas;5940;5531
240100628;CA de Bourg en Bresse;CA;TPU;70692;15;1053;Bourg-en-Bresse;43008;40598
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1309;Pouillat;58;58
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1172;Germagnat;92;92
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1177;Grand-Corent;114;111
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1150;Drom;164;160
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1312;Pressiat;194;191
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1127;Courmangoux;363;360
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1125;Corveissiat;481;469
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1095;Chavannes-sur-Suran;490;485
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1408;Simandre-sur-Suran;647;638
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1241;Meillonnas;1234;1204
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1426;Treffort-Cuisiat;1953;1910
240100636;CC de Treffort en Revermont;CC;TPU;7881;12;1350;Saint-Etienne-du-Bois;2091;2046
240100644;CC Chalaronne centre;CC;4TX;10703;13;1356;Saint-Georges-sur-Renon;165;161
240100644;CC Chalaronne centre;CC;4TX;10703;13;1335;Saint-André-le-Bouchoux;268;264
240100644;CC Chalaronne centre;CC;4TX;10703;13;1146;Dompierre-sur-Chalaronne;281;279
240100644;CC Chalaronne centre;CC;4TX;10703;13;1319;Relevant;373;367
240100644;CC Chalaronne centre;CC;4TX;10703;13;1393;Sandrans;419;416
240100644;CC Chalaronne centre;CC;4TX;10703;13;1412;Sulignat;494;485
240100644;CC Chalaronne centre;CC;4TX;10703;13;1328;Romans;535;522
240100644;CC Chalaronne centre;CC;4TX;10703;13;1028;Baneins;537;529
240100644;CC Chalaronne centre;CC;4TX;10703;13;1046;Biziat;651;641
240100644;CC Chalaronne centre;CC;4TX;10703;13;1113;Condeissiat;658;649
240100644;CC Chalaronne centre;CC;4TX;10703;13;1001;L'Abergement-Clémenciat;739;728
240100644;CC Chalaronne centre;CC;4TX;10703;13;1272;Neuville-les-Dames;1265;1231
240100644;CC Chalaronne centre;CC;4TX;10703;13;1093;Châtillon-sur-Chalaronne;4318;4137
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1432;Verjon;201;192
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1391;Salavre;293;285
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1296;Pirajoux;304;299
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1147;Domsure;408;403
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1445;Villemotier;462;455
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1029;Beaupont;497;492
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1038;Bény;627;613
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1108;Coligny;1114;1091
240100651;CC du Canton de Coligny;CC;4TX;6113;9;1232;Marboz;2207;2164
240100669;CC des Bords de Veyle;CC;4TX;6291;5;1084;Chanoz-Châtenay;502;492
240100669;CC des Bords de Veyle;CC;4TX;6291;5;1368;Saint-Julien-sur-Veyle;537;527
240100669;CC des Bords de Veyle;CC;4TX;6291;5;1096;Chaveyriat;826;810
240100669;CC des Bords de Veyle;CC;4TX;6291;5;1246;Mézériat;1953;1911
240100669;CC des Bords de Veyle;CC;4TX;6291;5;1457;Vonnas;2473;2422
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1434;Versailleux;258;255
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1129;Crans;258;258
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1090;Châtenay;315;308
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1299;Le Plantay;424;417
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1449;Villette-sur-Ain;490;472
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1381;Saint-Nizier-le-Désert;708;700
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1092;Châtillon-la-Palud;1150;1074
240100677;CC du Canton de Chalamont;CC;4TX;5277;8;1074;Chalamont;1674;1658
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1050;Boissey;203;202
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1016;Arbigny;343;332
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1057;Boz;362;359
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1352;Saint-Etienne-sur-Reyssouze;387;386
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1284;Ozan;479;467
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1402;Sermoyer;551;545
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1175;Gorrevod;571;561
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1094;Chavannes-sur-Reyssouze;592;580
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1102;Chevroux;668;657
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1323;Reyssouze;720;715
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1337;Saint-Bénigne;843;817
240100685;CC de Pont de Vaux;CC;4TX;7761;12;1305;Pont-de-Vaux;2042;2004
240100693;CC de la Vallière;CC;TPU;8205;9;1106;Cize;129;127
240100693;CC de la Vallière;CC;TPU;8205;9;1317;Ramasse;221;219
240100693;CC de la Vallière;CC;TPU;8205;9;1321;Revonnas;506;492
240100693;CC de la Vallière;CC;TPU;8205;9;1184;Hautecourt-Romanèche;683;676
240100693;CC de la Vallière;CC;TPU;8205;9;1245;Bohas-Meyriat-Rignat;744;727
240100693;CC de la Vallière;CC;TPU;8205;9;1369;Saint-Just;803;789
240100693;CC de la Vallière;CC;TPU;8205;9;1447;Villereversure;1210;1102
240100693;CC de la Vallière;CC;TPU;8205;9;1254;Montagnat;1464;1421
240100693;CC de la Vallière;CC;TPU;8205;9;1072;Ceyzériat;2445;2390
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1404;Serrières-sur-Ain;79;79
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1051;Bolozon;96;94
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1214;Leyssard;144;143
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1293;Peyriat;162;158
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1067;Ceignes;231;230
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1410;Sonthonnax-la-Montagne;308;302
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1240;Matafelon-Granges;496;483
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1392;Samognat;517;513
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1267;Nurieux-Volognat;967;952
240100701;CC des Monts du Berthiand;CC;4TX;4688;10;1192;Izernore;1688;1656
240100727;CC de Montmerle Trois Rivières;CC;TPU;6549;6;1225;Lurcy;262;257
240100727;CC de Montmerle Trois Rivières;CC;TPU;6549;6;1169;Genouilleux;403;399
240100727;CC de Montmerle Trois Rivières;CC;TPU;6549;6;1258;Montceaux;919;908
240100727;CC de Montmerle Trois Rivières;CC;TPU;6549;6;1165;Francheleins;1010;994
240100727;CC de Montmerle Trois Rivières;CC;TPU;6549;6;1183;Guéreins;1079;1065
240100727;CC de Montmerle Trois Rivières;CC;TPU;6549;6;1263;Montmerle-sur-Saône;2876;2830
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1318;Rancé;606;603
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1030;Beauregard;829;817
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1398;Savigneux;1058;1049
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1021;Ars-sur-Formans;1120;1102
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1005;Ambérieux-en-Dombes;1417;1408
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1157;Fareins;1725;1684
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1166;Frans;1874;1848
240100735;CC Porte Ouest de la Dombes;CC;TPU;14039;8;1194;Jassans-Riottier;5410;5338
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1019;Armix;16;15
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1066;La Burbanche;57;56
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1100;Cheignieu-la-Balme;112;112
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1316;Pugieu;131;126
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1329;Rossillon;149;147
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1141;Cuzieu;309;304
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1372;Saint-Martin-de-Bavel;339;332
240100743;CC Bugey, Arène, Furans;CC;4TX;2075;8;1452;Virieu-le-Grand;962;949
240100750;CC du Pays de Gex;CC;4TX;59433;26;1210;Lélex;226;221
240100750;CC du Pays de Gex;CC;4TX;59433;26;1247;Mijoux;316;312
240100750;CC du Pays de Gex;CC;4TX;59433;26;1104;Chézery-Forens;377;369
240100750;CC du Pays de Gex;CC;4TX;59433;26;1209;Léaz;495;481
240100750;CC du Pays de Gex;CC;4TX;59433;26;1158;Farges;613;594
240100750;CC du Pays de Gex;CC;4TX;59433;26;1180;Grilly;625;612
240100750;CC du Pays de Gex;CC;4TX;59433;26;1308;Pougny;637;629
240100750;CC du Pays de Gex;CC;4TX;59433;26;1103;Chevry;975;950
240100750;CC du Pays de Gex;CC;4TX;59433;26;1397;Sauverny;1037;1015
240100750;CC du Pays de Gex;CC;4TX;59433;26;1078;Challex;1073;1057
240100750;CC du Pays de Gex;CC;4TX;59433;26;1109;Collonges;1133;1106
240100750;CC du Pays de Gex;CC;4TX;59433;26;1360;Saint-Jean-de-Gonville;1202;1182
240100750;CC du Pays de Gex;CC;4TX;59433;26;1153;Echenevex;1224;1197
240100750;CC du Pays de Gex;CC;4TX;59433;26;1401;Sergy;1266;1247
240100750;CC du Pays de Gex;CC;4TX;59433;26;1399;Ségny;1383;1348
240100750;CC du Pays de Gex;CC;4TX;59433;26;1135;Crozet;1390;1349
240100750;CC du Pays de Gex;CC;4TX;59433;26;1288;Péron;1602;1579
240100750;CC du Pays de Gex;CC;4TX;59433;26;1435;Versonnex;1743;1712
240100750;CC du Pays de Gex;CC;4TX;59433;26;1071;Cessy;2631;2586
240100750;CC du Pays de Gex;CC;4TX;59433;26;1281;Ornex;2730;2663
240100750;CC du Pays de Gex;CC;4TX;59433;26;1419;Thoiry;4107;4063
240100750;CC du Pays de Gex;CC;4TX;59433;26;1313;Prévessin-Moëns;4358;4261
240100750;CC du Pays de Gex;CC;4TX;59433;26;1143;Divonne-les-Bains;6455;6349
240100750;CC du Pays de Gex;CC;4TX;59433;26;1354;Saint-Genis-Pouilly;6818;6704
240100750;CC du Pays de Gex;CC;4TX;59433;26;1160;Ferney-Voltaire;7173;7083
240100750;CC du Pays de Gex;CC;4TX;59433;26;1173;Gex;7844;7733
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1242;Mérignat;114;114
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1331;Saint-Alban;137;133
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1200;Labalme;137;135
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1077;Challes;202;200
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1056;Boyeux-Saint-Jérôme;280;277
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1068;Cerdon;680;672
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1273;Neuville-sur-Ain;1268;1236
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1303;Poncin;1443;1360
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1363;Saint-Jean-le-Vieux;1517;1450
240100784;CC Bugey - Vallée de lAin;CC;TPU;7512;10;1199;Jujurieux;1734;1700
240100800;CC de Miribel et du Plateau;CC;TPU;20892;6;1418;Thil;960;949
240100800;CC de Miribel et du Plateau;CC;TPU;20892;6;1424;Tramoyes;1541;1527
240100800;CC de Miribel et du Plateau;CC;TPU;20892;6;1275;Neyron;2174;2157
240100800;CC de Miribel et du Plateau;CC;TPU;20892;6;1043;Beynost;3560;3530
240100800;CC de Miribel et du Plateau;CC;TPU;20892;6;1376;Saint-Maurice-de-Beynost;4057;4020
240100800;CC de Miribel et du Plateau;CC;TPU;20892;6;1249;Miribel;8600;8539
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1023;Asnières-sur-Saône;70;69
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1439;Vésines;116;113
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1332;Saint-André-de-Bâgé;519;507
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1144;Dommartin;606;600
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1026;Bâgé-le-Châtel;815;762
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1231;Manziat;1630;1598
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1025;Bâgé-la-Ville;2364;2314
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1320;Replonges;2898;2845
240100818;CC du Pays de Bâgé;CC;TPU;12007;9;1159;Feillens;2989;2933
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1042;Bey;228;221
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1355;Saint-Genis-sur-Menthon;365;363
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1334;Saint-André-d'Huiriat;407;402
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1136;Cruzilles-lès-Mépillat;670;651
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1291;Perrex;741;721
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1123;Cormoranche-sur-Saône;923;904
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1365;Saint-Jean-sur-Veyle;989;958
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1203;Laiz;1010;986
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1343;Saint-Cyr-sur-Menthon;1345;1314
240100826;CC du Canton de Pont de Veyle;CC;TPU;11412;12;1134;Crottet;1509;1477
