siren;nom;nature;fiscalite;ptot;nb_com;insee;nom_com;ptot_com;pmun_com
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1387;Saint-Sulpice;103;103
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1040;Béréziat;342;340
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1140;Curtafond;600;590
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1154;Etrez;648;642
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1375;Saint-Martin-le-Châtel;658;652
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1346;Saint-Didier-d'Aussiat;675;666
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1236;Marsonnas;744;727
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1196;Jayat;777;773
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1229;Malafretaz;784;777
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1115;Confrançon;878;862
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1130;Cras-sur-Reyssouze;926;907
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1163;Foissiat;1580;1562
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1266;Montrevel-en-Bresse;2040;1994
240100156;CC de Montrevel en Bresse;CC;4TX;12944;14;1024;Attignat;2189;2154
240100172;CC d'Oyonnax;CC;TPU;38897;7;1171;Géovreisset;775;759
240100172;CC d'Oyonnax;CC;TPU;38897;7;1181;Groissiat;969;947
240100172;CC d'Oyonnax;CC;TPU;38897;7;1237;Martignat;1296;1265
240100172;CC d'Oyonnax;CC;TPU;38897;7;1031;Bellignat;3825;3485
240100172;CC d'Oyonnax;CC;TPU;38897;7;1014;Arbent;3693;3610
240100172;CC d'Oyonnax;CC;TPU;38897;7;1265;Montréal-la-Cluse;3703;3652
240100172;CC d'Oyonnax;CC;TPU;38897;7;1283;Oyonnax;24636;24162
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1433;Vernoux;130;127
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1406;Servignat;136;135
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1437;Vescours;191;191
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1128;Courtes;219;218
240100339;CC du Canton de Saint Trivier de Courtes;CC;4TX;5061;12;1230;Mantenay-Montlin;250;246
