siren;nom;nature;fiscalite;nb_com;ptot;pmun;insee;siren_com;nom_com;ptot_com;pmun_com
200000164;CC de Pange;CC;FPU;17;12578;12193;57055;215700550;Bazoncourt;510;499
200000164;CC de Pange;CC;FPU;17;12578;12193;57145;215701459;Coincy;310;306
200000164;CC de Pange;CC;FPU;17;12578;12193;57148;215701483;Colligny;339;332
200000164;CC de Pange;CC;FPU;17;12578;12193;57155;215701558;Courcelles-Chaussy;3254;3049
200000164;CC de Pange;CC;FPU;17;12578;12193;57156;215701566;Courcelles-sur-Nied;1058;1041
200000164;CC de Pange;CC;FPU;17;12578;12193;57431;215704313;Maizeroy;354;350
200000164;CC de Pange;CC;FPU;17;12578;12193;57432;215704321;Maizery;204;201
200000164;CC de Pange;CC;FPU;17;12578;12193;57449;215704495;Marsilly;530;516
200000164;CC de Pange;CC;FPU;17;12578;12193;57482;215704826;Montoy-Flanville;1119;1096
200000164;CC de Pange;CC;FPU;17;12578;12193;57523;215705237;Ogy;562;549
200000164;CC de Pange;CC;FPU;17;12578;12193;57533;215705336;Pange;946;928
200000164;CC de Pange;CC;FPU;17;12578;12193;57563;215705633;Raville;265;263
200000164;CC de Pange;CC;FPU;17;12578;12193;57575;215705757;Retonfey;1385;1352
200000164;CC de Pange;CC;FPU;17;12578;12193;57627;215706276;Sanry-sur-Nied;323;318
200000164;CC de Pange;CC;FPU;17;12578;12193;57648;215706482;Servigny-lès-Raville;388;384
200000164;CC de Pange;CC;FPU;17;12578;12193;57654;215706540;Silly-sur-Nied;700;688
200000164;CC de Pange;CC;FPU;17;12578;12193;57656;215706565;Sorbey;331;321
200000172;CC Faucigny-Glières;CC;FPU;7;26041;25127;74024;217400241;Ayse;2086;2019
200000172;CC Faucigny-Glières;CC;FPU;7;26041;25127;74042;217400423;Bonneville;12637;12201
200000172;CC Faucigny-Glières;CC;FPU;7;26041;25127;74049;217400498;Brizon;462;457
200000172;CC Faucigny-Glières;CC;FPU;7;26041;25127;74087;217400878;Contamine-sur-Arve;1771;1599
200000172;CC Faucigny-Glières;CC;FPU;7;26041;25127;74164;217401645;Marignier;6409;6228
200000172;CC Faucigny-Glières;CC;FPU;7;26041;25127;74212;217402122;Le Petit-Bornand-les-Glières;1153;1136
200000172;CC Faucigny-Glières;CC;FPU;7;26041;25127;74312;217403120;Vougy;1523;1487
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78010;217800101;Les Alluets-le-Roi;1247;1211
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78015;217800150;Andrésy;12131;11980
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78123;217801232;Carrières-sous-Poissy;15612;15453
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78138;217801380;Chanteloup-les-Vignes;9708;9614
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78140;217801406;Chapet;1227;1195
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78384;217803840;Médan;1478;1436
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78431;217804319;Morainvilliers;2565;2473
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78466;217804665;Orgeval;6052;5919
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78624;217806249;Triel-sur-Seine;11740;11549
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78642;217806421;Verneuil-sur-Seine;15824;15466
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78643;217806439;Vernouillet;9583;9401
200000321;CA des 2 Rives de la Seine;CA;FPU;12;92447;90800;78672;217806728;Villennes-sur-Seine;5280;5103
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31119;213101199;Castelnau-Picampeau;204;204
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31122;213101223;Casties-Labrande;115;114
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31193;213101934;Le Fousseret;1788;1755
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31204;213102049;Fustignac;79;77
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31229;213102296;Gratens;684;676
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31309;213103096;Lussan-Adeilhac;238;235
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31317;213103179;Marignac-Lasclares;427;422
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31370;213103708;Montégut-Bourjac;122;121
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31387;213103872;Montoussin;126;126
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31428;213104284;Polastron;60;59
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31436;213104367;Pouy-de-Touges;381;373
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31469;213104698;Saint-Araille;140;139
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31476;213104763;Saint-Elix-le-Château;765;747
200000354;CC de la Louge et du Touch;CC;FPU;14;5248;5166;31543;213105430;Sénarens;119;118
200000388;CC du Sud Morvan;CC;FA;7;3114;3067;58161;215801614;Maux;140;137
200000388;CC du Sud Morvan;CC;FA;7;3114;3067;58173;215801739;Montaron;169;165
200000388;CC du Sud Morvan;CC;FA;7;3114;3067;58182;215801820;Moulins-Engilbert;1576;1557
200000388;CC du Sud Morvan;CC;FA;7;3114;3067;58219;215802190;Préporché;208;206
200000388;CC du Sud Morvan;CC;FA;7;3114;3067;58277;215802778;Sermages;211;207
200000388;CC du Sud Morvan;CC;FA;7;3114;3067;58301;215803016;Vandenesse;349;341
200000388;CC du Sud Morvan;CC;FA;7;3114;3067;58309;215803099;Villapourçon;461;454
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88011;218800118;Arches;1760;1673
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88012;218800126;Archettes;1116;1091
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88028;218800282;La Baffe;732;643
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88048;218800480;Bellefontaine;1048;1022
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88134;218801348;Dinozé;584;568
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88225;218802254;Hadol;2438;2303
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88250;218802502;Jarménil;441;431
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88358;218803583;Pouxeux;2055;2003
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88371;218803716;Raon-aux-Bois;1260;1233
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88481;218804813;Uriménil;1389;1361
200000420;CC de la Vôge vers les Rives de la Moselle;CC;FPU;11;15661;15115;88530;218805307;Xertigny;2838;2787
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44050;214400509;Crossac;2878;2773
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44053;214400533;Drefféac;1984;1937
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44068;214400681;Guenrouet;3165;3115
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44098;214400988;Missillac;5001;4929
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44129;214401291;Pontchâteau;10116;9836
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44152;214401523;Sainte-Anne-sur-Brivet;2705;2660
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44161;214401614;Saint-Gildas-des-Bois;3584;3451
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44189;214401895;Sainte-Reine-de-Bretagne;2185;2158
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;FPU;9;33262;32471;44196;214401960;Sévérac;1644;1612
200000487;CC du Plateau de Lommoye (CCPL);CC;FPU;10;6640;6531;78082;217800820;Boissy-Mauvoisin;632;624
200000487;CC du Plateau de Lommoye (CCPL);CC;FPU;10;6640;6531;78107;217801075;Bréval;1986;1942
200000487;CC du Plateau de Lommoye (CCPL);CC;FPU;10;6640;6531;78147;217801471;Chaufour-lès-Bonnières;439;433
200000487;CC du Plateau de Lommoye (CCPL);CC;FPU;10;6640;6531;78188;217801885;Cravent;426;423
200000487;CC du Plateau de Lommoye (CCPL);CC;FPU;10;6640;6531;78344;217803444;Lommoye;659;647
200000487;CC du Plateau de Lommoye (CCPL);CC;FPU;10;6640;6531;78385;217803857;Ménerville;207;205
200000487;CC du Plateau de Lommoye (CCPL);CC;FPU;10;6640;6531;78444;217804442;Neauphlette;893;881
