DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;PMUN13;PMUN08
01001;82;01;012;0110;L'Abergement-Clémenciat;767;791
01002;82;01;011;0101;L'Abergement-de-Varey;236;194
01004;82;01;011;0101;Ambérieu-en-Bugey;14359;12792
01005;82;01;012;0130;Ambérieux-en-Dombes;1635;1567
01006;82;01;011;0104;Ambléon;108;123
01007;82;01;011;0101;Ambronay;2503;2296
01008;82;01;011;0117;Ambutrix;744;657
01009;82;01;011;0104;Andert-et-Condon;337;331
01010;82;01;011;0131;Anglefort;1108;926
01011;82;01;014;0122;Apremont;394;339
01012;82;01;011;0115;Aranc;314;285
01013;82;01;011;0128;Arandas;158;164
01014;82;01;014;0123;Arbent;3410;3433
01015;82;01;011;0104;Arbignieu;495;473
01016;82;01;012;0126;Arbigny;427;368
01017;82;01;011;0128;Argis;422;421
01019;82;01;011;0136;Armix;21;23
01021;82;01;012;0142;Ars-sur-Formans;1387;1284
01022;82;01;011;0109;Artemare;1175;1097
01023;82;01;012;0102;Asnières-sur-Saône;69;79
01024;82;01;012;0121;Attignat;3260;2662
01025;82;01;012;0102;Bâgé-la-Ville;3154;2866
01026;82;01;012;0102;Bâgé-le-Châtel;855;795
01027;82;01;012;0120;Balan;2828;2362
01028;82;01;012;0130;Baneins;573;595
01029;82;01;012;0111;Beaupont;677;560
01030;82;01;012;0134;Beauregard;876;881
01031;82;01;014;0141;Bellignat;3646;3464
01032;82;01;012;0120;Béligneux;3304;2883
01033;82;01;014;0103;Bellegarde-sur-Valserine;11644;11404
01034;82;01;011;0104;Belley;8909;8750
01035;82;01;014;0123;Belleydoux;327;298
01036;82;01;011;0109;Belmont-Luthézieu;526;489
01037;82;01;011;0118;Bénonces;276;280
01038;82;01;012;0111;Bény;718;742
01039;82;01;011;0109;Béon;457;354
01040;82;01;012;0121;Béréziat;470;388
01041;82;01;011;0101;Bettant;746;714
01042;82;01;012;0127;Bey;260;242
01043;82;01;012;0140;Beynost;4534;4305
01044;82;01;014;0103;Billiat;578;448
01045;82;01;012;0135;Birieux;280;230
01046;82;01;012;0110;Biziat;824;774
01047;82;01;011;0117;Blyes;944;880
01049;82;01;012;0120;La Boisse;2927;2880
01050;82;01;012;0126;Boissey;314;246
01051;82;01;014;0116;Bolozon;90;98
01052;82;01;012;0135;Bouligneux;304;303
01053;82;01;012;0199;Bourg-en-Bresse;40490;40203
01054;82;01;012;0119;Bourg-Saint-Christophe;1258;1095
01056;82;01;014;0124;Boyeux-Saint-Jérôme;365;306
01057;82;01;012;0126;Boz;508;485
01058;82;01;011;0104;Brégnier-Cordon;865;746
01059;82;01;011;0109;Brénaz;91;92
01060;82;01;014;0106;Brénod;550;531
01061;82;01;011;0104;Brens;1200;993
01062;82;01;012;0120;Bressolles;812;717
01063;82;01;014;0122;Brion;514;506
01064;82;01;011;0118;Briord;946;856
01065;82;01;012;0143;Buellas;1734;1617
01066;82;01;011;0136;La Burbanche;72;68
01067;82;01;014;0116;Ceignes;262;271
01068;82;01;014;0124;Cerdon;749;766
01069;82;01;012;0125;Certines;1440;1450
01071;82;01;013;0114;Cessy;4524;3660
01072;82;01;012;0107;Ceyzériat;3039;2620
01073;82;01;011;0136;Ceyzérieu;1005;893
01074;82;01;012;0108;Chalamont;2409;2236
01075;82;01;012;0130;Chaleins;1199;1183
01076;82;01;011;0128;Chaley;146;120
01077;82;01;014;0124;Challes-la-Montagne;181;186
01078;82;01;013;0112;Challex;1385;1124
01079;82;01;011;0109;Champagne-en-Valromey;805;741
01080;82;01;014;0106;Champdor;452;450
01081;82;01;014;0103;Champfromier;713;653
01082;82;01;011;0131;Chanay;646;610
01083;82;01;012;0130;Chaneins;847;840
01084;82;01;012;0110;Chanoz-Châtenay;756;671
01085;82;01;012;0135;La Chapelle-du-Châtelard;375;309
01087;82;01;014;0122;Charix;284;297
01088;82;01;012;0119;Charnoz-sur-Ain;915;912
01089;82;01;011;0101;Château-Gaillard;1940;1732
01090;82;01;012;0108;Châtenay;339;337
01091;82;01;014;0103;Châtillon-en-Michaille;3173;3099
01092;82;01;012;0108;Châtillon-la-Palud;1573;1496
01093;82;01;012;0110;Châtillon-sur-Chalaronne;4957;4924
01094;82;01;012;0126;Chavannes-sur-Reyssouze;732;667
01095;82;01;012;0133;Chavannes-sur-Suran;641;655
01096;82;01;012;0110;Chaveyriat;975;907
01097;82;01;011;0109;Chavornay;217;181
01098;82;01;011;0104;Chazey-Bons;831;715
01099;82;01;011;0117;Chazey-sur-Ain;1544;1385
01100;82;01;011;0136;Cheignieu-la-Balme;146;150
01101;82;01;014;0106;Chevillard;159;174
01102;82;01;012;0126;Chevroux;944;871
01103;82;01;013;0114;Chevry;1396;1184
01104;82;01;013;0112;Chézery-Forens;461;403
01105;82;01;012;0142;Civrieux;1441;1340
01106;82;01;012;0107;Cize;173;158
01107;82;01;011;0128;Cleyzieu;136;131
01108;82;01;012;0111;Coligny;1164;1150
01109;82;01;013;0112;Collonges;2104;1621
01110;82;01;011;0104;Colomieu;124;116
01111;82;01;011;0128;Conand;113;103
01112;82;01;014;0106;Condamine;417;388
01113;82;01;012;0110;Condeissiat;806;749
01114;82;01;013;0112;Confort;556;513
01115;82;01;012;0121;Confrançon;1321;1071
01116;82;01;011;0136;Contrevoz;518;506
01117;82;01;011;0104;Conzieu;146;119
01118;82;01;011;0131;Corbonod;1219;1152
