DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;PMUN13;PMUN08
01119;82;01;014;0106;Corcelles;227;223
01121;82;01;011;0115;Corlier;116;119
01122;82;01;011;0115;Cormaranche-en-Bugey;801;857
01123;82;01;012;0127;Cormoranche-sur-Saône;1070;1043
01124;82;01;012;0129;Cormoz;668;547
01125;82;01;012;0133;Corveissiat;617;556
01127;82;01;012;0133;Courmangoux;507;490
01128;82;01;012;0129;Courtes;282;251
01129;82;01;012;0108;Crans;264;273
01130;82;01;012;0121;Cras-sur-Reyssouze;1388;1155
01133;82;01;011;0104;Cressin-Rochefort;380;361
01134;82;01;012;0127;Crottet;1717;1723
01135;82;01;013;0114;Crozet;2015;1766
01136;82;01;012;0127;Cruzilles-lès-Mépillat;831;793
01138;82;01;011;0131;Culoz;2986;2931
01139;82;01;012;0129;Curciat-Dongalon;454;437
01140;82;01;012;0121;Curtafond;721;663
01141;82;01;011;0136;Cuzieu;404;401
01142;82;01;012;0120;Dagneux;4308;3930
01143;82;01;013;0114;Divonne-les-Bains;8762;7806
01144;82;01;012;0102;Dommartin;882;813
01145;82;01;012;0125;Dompierre-sur-Veyle;1175;1198
01146;82;01;012;0110;Dompierre-sur-Chalaronne;402;371
01147;82;01;012;0111;Domsure;477;475
01148;82;01;014;0123;Dortan;1855;2077
01149;82;01;011;0101;Douvres;1015;934
01150;82;01;012;0107;Drom;218;192
01151;82;01;012;0125;Druillat;1151;1127
01152;82;01;014;0123;Échallon;765;775
01153;82;01;013;0114;Échenevex;1904;1538
01154;82;01;012;0121;Étrez;793;786
01155;82;01;011;0128;Évosges;144;130
01156;82;01;012;0119;Faramans;772;647
01157;82;01;012;0130;Fareins;2199;2035
01158;82;01;013;0112;Farges;946;825
01159;82;01;012;0102;Feillens;3186;3108
01160;82;01;013;0113;Ferney-Voltaire;9236;7822
01162;82;01;011;0136;Flaxieu;65;57
01163;82;01;012;0121;Foissiat;2005;1855
01165;82;01;012;0130;Francheleins;1482;1218
01166;82;01;012;0134;Frans;2087;1994
01167;82;01;012;0132;Garnerans;667;640
01169;82;01;012;0132;Genouilleux;591;581
01170;82;01;014;0122;Béard-Géovreissiat;999;908
01171;82;01;014;0141;Géovreisset;928;904
01172;82;01;012;0133;Germagnat;149;144
01173;82;01;013;0114;Gex;10893;9694
01174;82;01;014;0103;Giron;172;147
01175;82;01;012;0126;Gorrevod;829;737
01176;82;01;014;0106;Le Grand-Abergement;127;105
01177;82;01;012;0107;Grand-Corent;174;146
01179;82;01;012;0127;Grièges;1925;1800
01180;82;01;013;0114;Grilly;780;709
01181;82;01;014;0141;Groissiat;1176;1116
01182;82;01;011;0118;Groslée;361;350
01183;82;01;012;0132;Guéreins;1418;1241
01184;82;01;012;0107;Hautecourt-Romanèche;795;748
01185;82;01;011;0115;Hauteville-Lompnes;3919;4193
01186;82;01;011;0128;Hostiaz;86;80
01187;82;01;014;0106;Hotonnes;300;300
01188;82;01;012;0132;Illiat;592;544
01189;82;01;014;0103;Injoux-Génissiat;1130;1014
01190;82;01;011;0118;Innimond;117;111
01191;82;01;014;0106;Izenave;170;152
01192;82;01;014;0116;Izernore;2312;2247
01193;82;01;011;0104;Izieu;221;196
01194;82;01;012;0134;Jassans-Riottier;6254;5934
01195;82;01;012;0107;Jasseron;1682;1412
01196;82;01;012;0121;Jayat;1099;994
01197;82;01;012;0125;Journans;345;315
01198;82;01;012;0119;Joyeux;263;233
01199;82;01;014;0124;Jujurieux;2172;2022
01200;82;01;014;0124;Labalme;206;172
01202;82;01;011;0117;Lagnieu;6889;6694
01203;82;01;012;0127;Laiz;1187;1101
01204;82;01;014;0122;Lalleyriat;261;222
01205;82;01;013;0112;Lancrans;1030;1025
01206;82;01;014;0106;Lantenay;261;254
01207;82;01;012;0135;Lapeyrouse;316;293
01208;82;01;011;0104;Lavours;144;130
01209;82;01;013;0112;Léaz;650;520
01210;82;01;013;0114;Lélex;231;225
01211;82;01;012;0139;Lent;1413;1266
01212;82;01;012;0129;Lescheroux;695;695
01213;82;01;011;0117;Leyment;1249;1260
01214;82;01;014;0116;Leyssard;149;160
01215;82;01;014;0103;Lhôpital;50;58
01216;82;01;011;0118;Lhuis;880;817
01218;82;01;011;0109;Lochieu;95;90
01219;82;01;011;0118;Lompnas;160;157
01221;82;01;011;0109;Lompnieu;118;111
01224;82;01;011;0117;Loyettes;3115;2437
01225;82;01;012;0130;Lurcy;403;395
01227;82;01;011;0104;Magnieu;443;418
01228;82;01;014;0122;Maillat;648;655
01229;82;01;012;0121;Malafretaz;1134;888
01230;82;01;012;0129;Mantenay-Montlin;309;285
01231;82;01;012;0102;Manziat;1948;1892
01232;82;01;012;0111;Marboz;2196;2176
01233;82;01;011;0118;Marchamp;128;115
01234;82;01;011;0136;Marignieu;164;156
01235;82;01;012;0135;Marlieux;995;801
01236;82;01;012;0121;Marsonnas;998;937
01237;82;01;014;0141;Martignat;1584;1586
01238;82;01;012;0142;Massieux;2448;2391
01239;82;01;011;0104;Massignieu-de-Rives;646;573
01240;82;01;014;0116;Matafelon-Granges;651;653
01241;82;01;012;0133;Meillonnas;1303;1298
01242;82;01;014;0124;Mérignat;125;136
01243;82;01;012;0130;Messimy-sur-Saône;1218;1163
01244;82;01;012;0119;Meximieux;7424;7334
01245;82;01;012;0107;Bohas-Meyriat-Rignat;874;815
01246;82;01;012;0110;Mézériat;2140;2034
01247;82;01;013;0114;Mijoux;360;380
01248;82;01;012;0142;Mionnay;2121;2115
01249;82;01;012;0140;Miribel;9277;8997
01250;82;01;012;0142;Misérieux;1842;1749
01252;82;01;012;0132;Mogneneins;765;694
01254;82;01;012;0139;Montagnat;1803;1588
01255;82;01;011;0118;Montagnieu;561;484
01257;82;01;014;0103;Montanges;338;331
01258;82;01;012;0132;Montceaux;1226;1063
01259;82;01;012;0143;Montcet;659;663
01260;82;01;012;0119;Le Montellier;256;224
01261;82;01;012;0135;Monthieux;669;595
01262;82;01;012;0120;Montluel;7074;6774
01263;82;01;012;0132;Montmerle-sur-Saône;3828;3806
01264;82;01;012;0139;Montracol;999;925
01265;82;01;014;0122;Montréal-la-Cluse;3410;3529
01266;82;01;012;0121;Montrevel-en-Bresse;2441;2351
01267;82;01;014;0116;Nurieux-Volognat;1025;1089
01268;82;01;011;0104;Murs-et-Gélignieux;250;238
01269;82;01;014;0122;Nantua;3524;3633
01271;82;01;011;0104;Nattages;569;549
01272;82;01;012;0110;Neuville-les-Dames;1492;1523
01273;82;01;012;0125;Neuville-sur-Ain;1610;1516
01274;82;01;014;0122;Les Neyrolles;636;656
01275;82;01;012;0140;Neyron;2497;2332
01276;82;01;012;0120;Niévroz;1524;1511
01277;82;01;011;0128;Nivollet-Montgriffon;119;139
01279;82;01;011;0128;Oncieu;97;92
01280;82;01;011;0118;Ordonnaz;154;134
01281;82;01;013;0113;Ornex;4276;3163
01282;82;01;014;0106;Outriaz;256;266
01283;82;01;014;0198;Oyonnax;22258;23114
01284;82;01;012;0126;Ozan;649;539
01285;82;01;012;0142;Parcieux;1129;1057
01286;82;01;011;0104;Parves;370;342
01288;82;01;013;0112;Péron;2437;1930
01289;82;01;012;0139;Péronnas;6109;6135
01290;82;01;012;0119;Pérouges;1206;1205
01291;82;01;012;0127;Perrex;789;836
01292;82;01;014;0106;Le Petit-Abergement;135;141
01293;82;01;014;0116;Peyriat;176;166
01294;82;01;011;0104;Peyrieu;828;791
01295;82;01;012;0132;Peyzieux-sur-Saône;629;385
01296;82;01;012;0111;Pirajoux;400;330
01297;82;01;012;0120;Pizay;759;762
01298;82;01;014;0103;Plagne;128;109
01299;82;01;012;0108;Le Plantay;527;535
01300;82;01;014;0122;Le Poizat;450;424
01301;82;01;012;0143;Polliat;2424;2366
01302;82;01;011;0104;Pollieu;157;156
01303;82;01;014;0124;Poncin;1686;1582
01304;82;01;012;0125;Pont-d'Ain;2734;2514
01305;82;01;012;0126;Pont-de-Vaux;2276;2159
01306;82;01;012;0127;Pont-de-Veyle;1611;1496
01307;82;01;014;0122;Port;848;868
01308;82;01;013;0112;Pougny;815;764
01309;82;01;012;0133;Pouillat;93;83
01310;82;01;011;0104;Prémeyzel;222;251
01311;82;01;011;0115;Prémillieu;45;34
01312;82;01;012;0133;Pressiat;237;216
01313;82;01;013;0113;Prévessin-Moëns;7560;5300
01314;82;01;012;0125;Priay;1600;1447
01316;82;01;011;0136;Pugieu;169;146
01317;82;01;012;0107;Ramasse;288;255
01318;82;01;012;0142;Rancé;685;643
01319;82;01;012;0130;Relevant;471;433
01320;82;01;012;0102;Replonges;3651;3281
01321;82;01;012;0107;Revonnas;912;670
01322;82;01;012;0142;Reyrieux;4420;4028
01323;82;01;012;0126;Reyssouze;979;905
01325;82;01;012;0119;Rignieux-le-Franc;964;944
01328;82;01;012;0110;Romans;602;581
01329;82;01;011;0136;Rossillon;143;145
01330;82;01;011;0109;Ruffieu;193;180
01331;82;01;014;0124;Saint-Alban;168;174
01332;82;01;012;0102;Saint-André-de-Bâgé;700;555
01333;82;01;012;0142;Saint-André-de-Corcy;2926;2971
01334;82;01;012;0127;Saint-André-d'Huiriat;547;536
01335;82;01;012;0110;Saint-André-le-Bouchoux;354;307
01336;82;01;012;0139;Saint-André-sur-Vieux-Jonc;1121;1030
01337;82;01;012;0126;Saint-Bénigne;1226;1117
01338;82;01;011;0118;Saint-Benoît;819;736
01339;82;01;012;0134;Saint-Bernard;1406;1380
01340;82;01;011;0104;Saint-Bois;136;120
01341;82;01;011;0104;Saint-Champ;156;138
01342;82;01;012;0120;Sainte-Croix;536;524
01343;82;01;012;0127;Saint-Cyr-sur-Menthon;1719;1563
01344;82;01;012;0143;Saint-Denis-lès-Bourg;5505;5229
01345;82;01;011;0101;Saint-Denis-en-Bugey;2216;2093
01346;82;01;012;0121;Saint-Didier-d'Aussiat;893;821
01347;82;01;012;0134;Saint-Didier-de-Formans;1818;1782
01348;82;01;012;0132;Saint-Didier-sur-Chalaronne;2783;2656
01349;82;01;012;0119;Saint-Éloi;444;372
01350;82;01;012;0133;Saint-Étienne-du-Bois;2522;2410
01351;82;01;012;0132;Saint-Étienne-sur-Chalaronne;1501;1415
01352;82;01;012;0126;Saint-Étienne-sur-Reyssouze;555;516
01353;82;01;012;0142;Sainte-Euphémie;1630;1392
01354;82;01;013;0113;Saint-Genis-Pouilly;9635;8379
01355;82;01;012;0127;Saint-Genis-sur-Menthon;466;391
01356;82;01;012;0110;Saint-Georges-sur-Renon;214;196
01357;82;01;014;0103;Saint-Germain-de-Joux;473;494
01358;82;01;011;0104;Saint-Germain-les-Paroisses;408;367
01359;82;01;012;0135;Saint-Germain-sur-Renon;230;241
01360;82;01;013;0112;Saint-Jean-de-Gonville;1547;1442
01361;82;01;012;0119;Saint-Jean-de-Niost;1427;1404
01362;82;01;012;0142;Saint-Jean-de-Thurigneux;789;615
01363;82;01;014;0124;Saint-Jean-le-Vieux;1645;1578
01364;82;01;012;0129;Saint-Jean-sur-Reyssouze;733;713
01365;82;01;012;0127;Saint-Jean-sur-Veyle;1076;1068
01366;82;01;011;0117;Sainte-Julie;957;846
01367;82;01;012;0129;Saint-Julien-sur-Reyssouze;747;586
01368;82;01;012;0110;Saint-Julien-sur-Veyle;752;699
01369;82;01;012;0139;Saint-Just;894;874
01370;82;01;012;0102;Saint-Laurent-sur-Saône;1781;1736
01371;82;01;012;0135;Saint-Marcel;1324;1223
01372;82;01;011;0136;Saint-Martin-de-Bavel;427;457
01373;82;01;014;0122;Saint-Martin-du-Frêne;1101;1069
01374;82;01;012;0125;Saint-Martin-du-Mont;1717;1565
01375;82;01;012;0121;Saint-Martin-le-Châtel;800;774
01376;82;01;012;0140;Saint-Maurice-de-Beynost;3903;3875
01378;82;01;012;0119;Saint-Maurice-de-Gourdans;2469;2404
01379;82;01;011;0101;Saint-Maurice-de-Rémens;734;683
01380;82;01;012;0129;Saint-Nizier-le-Bouchoux;688;727
01381;82;01;012;0108;Saint-Nizier-le-Désert;894;858
01382;82;01;012;0130;Sainte-Olive;294;310
01383;82;01;012;0135;Saint-Paul-de-Varax;1475;1497
01384;82;01;011;0128;Saint-Rambert-en-Bugey;2240;2167
01385;82;01;012;0139;Saint-Rémy;976;835
01386;82;01;011;0117;Saint-Sorlin-en-Bugey;1089;1066
01387;82;01;012;0121;Saint-Sulpice;194;135
01388;82;01;012;0129;Saint-Trivier-de-Courtes;1091;975
01389;82;01;012;0130;Saint-Trivier-sur-Moignans;1826;1881
01390;82;01;011;0117;Saint-Vulbas;1068;923
01391;82;01;012;0111;Salavre;290;282
01392;82;01;014;0116;Samognat;677;685
01393;82;01;012;0110;Sandrans;508;530
01396;82;01;011;0117;Sault-Brénaz;1036;1050
01397;82;01;013;0113;Sauverny;1059;1095
01398;82;01;012;0130;Savigneux;1236;1189
01399;82;01;013;0114;Ségny;1873;1581
01400;82;01;011;0118;Seillonnaz;141;141
01401;82;01;013;0113;Sergy;2028;1706
01402;82;01;012;0126;Sermoyer;675;664
01403;82;01;011;0118;Serrières-de-Briord;1294;1112
01404;82;01;014;0116;Serrières-sur-Ain;125;116
01405;82;01;012;0139;Servas;1199;1174
01406;82;01;012;0129;Servignat;169;156
01407;82;01;011;0131;Seyssel;965;933
01408;82;01;012;0107;Simandre-sur-Suran;694;656
01409;82;01;011;0109;Songieu;129;121
01410;82;01;014;0116;Sonthonnax-la-Montagne;320;323
01411;82;01;011;0117;Souclin;264;256
01412;82;01;012;0110;Sulignat;557;573
01413;82;01;014;0103;Surjoux;74;74
01414;82;01;011;0109;Sutrieu;223;228
01415;82;01;011;0109;Talissieu;436;452
01416;82;01;011;0128;Tenay;1067;1105
01417;82;01;011;0115;Thézillieu;307;313
01418;82;01;012;0140;Thil;1021;1083
01419;82;01;013;0113;Thoiry;6006;4938
01420;82;01;012;0132;Thoissey;1630;1498
01421;82;01;011;0128;Torcieu;719;685
01422;82;01;012;0125;Tossiat;1353;1388
01423;82;01;012;0142;Toussieux;810;745
01424;82;01;012;0142;Tramoyes;1657;1641
01425;82;01;012;0125;La Tranclière;298;303
01426;82;01;012;0133;Treffort-Cuisiat;2287;2070
01427;82;01;012;0134;Trévoux;6708;6768
01428;82;01;012;0132;Valeins;119;90
01429;82;01;012;0143;Vandeins;671;600
01430;82;01;012;0125;Varambon;527;536
01431;82;01;011;0117;Vaux-en-Bugey;1215;1115
01432;82;01;012;0111;Verjon;259;250
01433;82;01;012;0129;Vernoux;322;227
01434;82;01;012;0108;Versailleux;375;330
01435;82;01;013;0113;Versonnex;2157;2068
01436;82;01;013;0114;Vesancy;527;520
01437;82;01;012;0129;Vescours;234;199
01439;82;01;012;0102;Vésines;99;90
01441;82;01;014;0106;Vieu-d'Izenave;680;682
01442;82;01;011;0109;Vieu;374;381
01443;82;01;012;0135;Villars-les-Dombes;4449;4330
01444;82;01;011;0117;Villebois;1160;1111
01445;82;01;012;0111;Villemotier;654;597
01446;82;01;012;0130;Villeneuve;1421;1353
01447;82;01;012;0107;Villereversure;1214;1206
01448;82;01;014;0103;Villes;351;361
01449;82;01;012;0108;Villette-sur-Ain;681;664
01450;82;01;012;0119;Villieu-Loyes-Mollon;3350;2937
01451;82;01;012;0143;Viriat;6258;5735
01452;82;01;011;0136;Virieu-le-Grand;1108;1084
01453;82;01;011;0109;Virieu-le-Petit;307;313
01454;82;01;011;0104;Virignin;997;798
01456;82;01;011;0136;Vongnes;73;69
01457;82;01;012;0110;Vonnas;2919;2681
02001;22;02;022;0209;Abbécourt;525;490
02002;22;02;022;0214;Achery;620;546
02003;22;02;024;0204;Acy;1016;898
02004;22;02;022;0219;Agnicourt-et-Séchelles;196;193
02005;22;02;022;0221;Aguilcourt;395;334
02006;22;02;025;0216;Aisonville-et-Bernoville;265;292
02007;22;02;022;0212;Aizelles;115;107
02008;22;02;024;0232;Aizy-Jouy;304;260
02009;22;02;023;0220;Alaincourt;529;495
02010;22;02;024;0232;Allemant;173;177
02011;22;02;024;0235;Ambleny;1132;1138
02012;22;02;024;0224;Ambrief;68;63
02013;22;02;022;0221;Amifontaine;414;413
02014;22;02;022;0209;Amigny-Rouy;742;724
02015;22;02;024;0236;Ancienville;80;66
02016;22;02;022;0214;Andelain;208;179
02017;22;02;022;0214;Anguilcourt-le-Sart;304;279
02018;22;02;022;0201;Anizy-le-Château;1948;1899
02019;22;02;023;0229;Annois;385;378
02020;22;02;025;0202;Any-Martin-Rieux;464;499
02021;22;02;022;0226;Archon;83;92
02022;22;02;024;0224;Arcy-Sainte-Restitue;408;433
02023;22;02;021;0222;Armentières-sur-Ourcq;108;100
02024;22;02;022;0238;Arrancy;54;45
02025;22;02;023;0229;Artemps;362;359
02026;22;02;021;0210;Artonges;196;167
02027;22;02;022;0213;Assis-sur-Serre;249;266
02028;22;02;022;0238;Athies-sous-Laon;2616;2385
02029;22;02;023;0233;Attilly;375;394
02030;22;02;023;0206;Aubencheul-aux-Bois;296;307
02031;22;02;025;0202;Aubenton;664;701
02032;22;02;023;0229;Aubigny-aux-Kaisnes;240;243
02033;22;02;022;0212;Aubigny-en-Laonnois;108;117
02034;22;02;022;0211;Audignicourt;103;101
02035;22;02;025;0216;Audigny;283;250
02036;22;02;024;0204;Augy;88;82
02037;22;02;022;0218;Aulnois-sous-Laon;1398;1301
02038;22;02;022;0226;Les Autels;74;75
02039;22;02;022;0219;Autremencourt;177;184
02040;22;02;025;0234;Autreppes;177;184
02041;22;02;022;0209;Autreville;827;837
02042;22;02;021;0208;Azy-sur-Marne;408;372
02043;22;02;024;0235;Bagneux;71;72
02044;22;02;025;0234;Bancigny;29;24
02046;22;02;022;0213;Barenton-Bugny;556;580
02047;22;02;022;0213;Barenton-Cel;130;147
02048;22;02;022;0213;Barenton-sur-Serre;117;110
02049;22;02;022;0211;Barisis-aux-Bois;739;708
02050;22;02;025;0223;Barzy-en-Thiérache;314;298
02051;22;02;021;0210;Barzy-sur-Marne;385;384
02052;22;02;022;0201;Bassoles-Aulers;143;135
02053;22;02;021;0210;Baulne-en-Brie;259;296
02054;22;02;024;0204;Bazoches-sur-Vesles;469;443
02055;22;02;025;0202;Beaumé;99;98
02056;22;02;022;0209;Beaumont-en-Beine;170;154
02057;22;02;023;0206;Beaurevoir;1469;1528
02058;22;02;022;0212;Beaurieux;803;796
02059;22;02;022;0242;Beautor;2692;2664
02060;22;02;023;0233;Beauvois-en-Vermandois;284;277
02061;22;02;023;0203;Becquigny;285;280
02062;22;02;021;0208;Belleau;141;127
02063;22;02;023;0206;Bellenglise;382;386
02064;22;02;024;0241;Belleu;3861;3907
02065;22;02;023;0206;Bellicourt;634;638
02066;22;02;023;0220;Benay;212;207
02067;22;02;025;0223;Bergues-sur-Sambre;217;207
02068;22;02;025;0227;Berlancourt;108;97
02069;22;02;022;0226;Berlise;121;123
02070;22;02;025;0216;Bernot;444;447
02071;22;02;024;0235;Berny-Rivière;636;596
02072;22;02;022;0212;Berrieux;188;169
02073;22;02;022;0221;Berry-au-Bac;592;548
02074;22;02;022;0214;Bertaucourt-Epourdon;615;582
02075;22;02;023;0220;Berthenicourt;203;208
02076;22;02;022;0221;Bertricourt;175;141
02077;22;02;024;0241;Berzy-le-Sec;401;394
02078;22;02;022;0211;Besmé;155;158
02079;22;02;025;0202;Besmont;161;148
02080;22;02;022;0218;Besny-et-Loizy;364;365
02081;22;02;022;0209;Béthancourt-en-Vaux;490;383
02082;22;02;024;0224;Beugneux;110;126
02083;22;02;021;0215;Beuvardes;719;718
02084;22;02;021;0207;Bézu-le-Guéry;262;253
02085;22;02;021;0208;Bézu-Saint-Germain;1012;686
02086;22;02;022;0211;Bichancourt;1068;999
02087;22;02;024;0235;Bieuxy;30;28
02088;22;02;022;0238;Bièvres;67;78
02089;22;02;024;0241;Billy-sur-Aisne;1143;1099
02090;22;02;024;0224;Billy-sur-Ourcq;214;216
02091;22;02;024;0204;Blanzy-lès-Fismes;103;93
02093;22;02;022;0211;Blérancourt;1236;1276
02094;22;02;021;0208;Blesmes;408;379
02095;22;02;023;0203;Bohain-en-Vermandois;5750;6117
02096;22;02;022;0213;Bois-lès-Pargny;193;172
02097;22;02;022;0230;Boncourt;259;243
02098;22;02;021;0208;Bonneil;383;411
02099;22;02;021;0222;Bonnesvalyn;243;221
02100;22;02;023;0206;Bony;136;128
02101;22;02;022;0219;Bosmont-sur-Serre;203;205
02102;22;02;022;0212;Bouconville-Vauclair;207;156
02103;22;02;025;0223;Boué;1277;1244
02104;22;02;022;0221;Bouffignereux;103;107
02105;22;02;021;0208;Bouresches;201;205
02106;22;02;022;0212;Bourg-et-Comin;829;741
02107;22;02;022;0211;Bourguignon-sous-Coucy;101;91
02108;22;02;022;0201;Bourguignon-sous-Montbavin;147;129
02109;22;02;025;0234;La Bouteille;496;509
02110;22;02;024;0204;Braine;2250;2106
02111;22;02;022;0201;Brancourt-en-Laonnois;706;641
02112;22;02;023;0203;Brancourt-le-Grand;609;616
02114;22;02;021;0208;Brasles;1397;1276
02115;22;02;022;0212;Braye-en-Laonnois;223;216
02116;22;02;025;0234;Braye-en-Thiérache;132;154
02117;22;02;023;0229;Bray-Saint-Christophe;72;79
02118;22;02;024;0232;Braye;118;117
02119;22;02;021;0215;Brécy;345;342
02120;22;02;024;0204;Brenelle;196;188
02121;22;02;024;0224;Breny;257;274
02122;22;02;022;0214;Brie;57;58
02123;22;02;023;0220;Brissay-Choigny;295;320
02124;22;02;023;0220;Brissy-Hamégicourt;640;640
02125;22;02;021;0222;Brumetz;219;209
02126;22;02;022;0226;Brunehamel;516;538
02127;22;02;021;0215;Bruyères-sur-Fère;194;208
02128;22;02;022;0238;Bruyères-et-Montbérault;1558;1586
02129;22;02;024;0204;Bruys;20;20
02130;22;02;025;0217;Bucilly;184;202
02131;22;02;024;0232;Bucy-le-Long;1911;1966
02132;22;02;022;0218;Bucy-lès-Cerny;207;182
02133;22;02;022;0230;Bucy-lès-Pierrepont;424;420
02134;22;02;025;0217;Buire;878;875
02135;22;02;025;0205;Buironfosse;1196;1195
02136;22;02;025;0234;Burelles;133;144
02137;22;02;021;0222;Bussiares;125;116
02138;22;02;024;0224;Buzancy;190;186
02139;22;02;022;0209;Caillouël-Crépigny;432;404
02140;22;02;022;0211;Camelin;453;444
02141;22;02;025;0205;La Capelle;1827;1877
02142;22;02;023;0229;Castres;241;224
02143;22;02;023;0206;Le Catelet;197;196
