DEPCOM;LIBMIN;PMUN13
55039;Beaumont-en-Verdunois;-1
55050;Bezonvaux;-1
55139;Cumières-le-Mort-Homme;-1
55189;Fleury-devant-Douaumont;-1
55239;Haumont-près-Samogneux;-1
55307;Louvemont-Côte-du-Poivre;-1
